intern_id,intern_name,target_role,skills,experience_level,projects_completed
INT001,Intern 001,Data Scientist,"NumPy, SQL, Power BI, Python, Machine Learning, Pandas",Beginner,0
INT002,Intern 002,Data Scientist,"Python, Machine Learning, SQL, Power BI, NumPy",Beginner,4
INT003,Intern 003,Data Analyst,"Tableau, Power BI, Communication, Excel, Pandas",Beginner,2
INT004,Intern 004,Data Scientist,"SQL, Pandas, Power BI, Machine Learning, Statistics, Python, Git",Beginner,3
INT005,Intern 005,Data Scientist,"Statistics, Machine Learning, SQL, Python, Power BI, Pandas",Intermediate,2
INT006,Intern 006,Data Scientist,"Power BI, Pandas, NumPy, Git, Problem Solving",Beginner,1
INT007,Intern 007,Data Analyst,"Power BI, Pandas, Statistics, Excel, Problem Solving",Intermediate,2
INT008,Intern 008,Web Developer,"HTML, CSS, Problem Solving, JavaScript, React, Responsive Design, Excel",Beginner,5
INT009,Intern 009,Data Analyst,"Tableau, Statistics, Python, Excel, Power BI, SQL, Communication",Beginner,4
INT010,Intern 010,Data Analyst,"Tableau, Power BI, Excel, Statistics, Python, SQL, Communication",Intermediate,1
INT011,Intern 011,Machine Learning Engineer,"SQL, Scikit-learn, Git, TensorFlow, Docker, Machine Learning, Statistics",Intermediate,6
INT012,Intern 012,Data Scientist,"Machine Learning, Power BI, Statistics, Pandas, Problem Solving",Intermediate,1
INT013,Intern 013,Software Developer,"Git, APIs, Python, Problem Solving, Java, OOP",Beginner,1
INT014,Intern 014,Web Developer,"Git, React, HTML, Problem Solving",Intermediate,6
INT015,Intern 015,Data Analyst,"Python, Pandas, SQL, Statistics",Beginner,6
INT016,Intern 016,Data Scientist,"Pandas, Statistics, NumPy, Machine Learning, SQL",Intermediate,6
INT017,Intern 017,Web Developer,"React, Git, JavaScript, Problem Solving, Responsive Design",Beginner,4
INT018,Intern 018,Software Developer,"SQL, Python, Git, Testing, Java",Beginner,0
INT019,Intern 019,Data Scientist,"NumPy, Python, Power BI, Pandas, Communication",Intermediate,2
INT020,Intern 020,Software Developer,"Problem Solving, Java, SQL, OOP, Testing, Excel",Beginner,3
INT021,Intern 021,Data Analyst,"Communication, Tableau, Statistics, SQL, Pandas, Python, Excel",Beginner,6
INT022,Intern 022,Data Scientist,"NumPy, Machine Learning, Git, SQL, Statistics, Problem Solving",Beginner,1
INT023,Intern 023,Data Scientist,"Python, Statistics, Machine Learning, Git",Beginner,6
INT024,Intern 024,Machine Learning Engineer,"Statistics, Scikit-learn, SQL, Git, Python, TensorFlow, Docker, Problem Solving",Beginner,2
INT025,Intern 025,Software Developer,"Problem Solving, Java, Testing, Git, OOP, Python, APIs",Beginner,0
INT026,Intern 026,Data Scientist,"Pandas, Python, Machine Learning, Power BI, SQL, Statistics, Git",Intermediate,1
INT027,Intern 027,Software Developer,"Python, APIs, Problem Solving, SQL, Git",Beginner,1
